,Unnamed: 0,French,English
0,0,partie,part
1,2,chercher,search
2,4,police,police
3,6,aide,help
4,7,demande,request
5,8,genre,kind
6,11,laisser,let
7,12,car,because
8,14,aucun,no
9,15,laisse,leash
10,16,eux,them
11,17,ville,city
12,18,chaque,each
13,19,parlé,speak
14,21,bébé,baby
15,22,longtemps,long time
16,23,heures,hours
17,26,revoir,meet again
18,28,parle,speak
19,29,compris,understood
20,30,savais,knew
21,31,étaient,were
22,32,attention,Warning
23,34,pourrais,could
24,35,affaire,case
25,37,type,type
26,39,donné,given
27,40,train,train
28,41,corps,body
29,42,endroit,place
30,44,façon,way
31,45,écoute,listen
32,46,dont,whose
33,48,premier,first
34,50,main,hand
35,51,première,first
36,53,pouvoir,power
37,55,sois,be
38,56,tiens,here
39,58,tellement,so much
40,59,enfant,child
41,60,point,point
42,61,venu,came
43,62,suite,after
44,64,venez,come
45,66,vers,towards
46,68,chambre,bedroom
47,69,mis,placed
48,71,droit,law
49,72,aimerais,would like to
50,73,aujourd'hui,today
51,75,cause,cause
52,76,enfin,finally
53,77,espère,hope
54,78,eau,water
55,79,attendez,Wait
56,80,parti,left
57,81,nouvelle,new
58,82,boulot,job
59,83,arrêter,Stop
60,84,dirait,would say
61,85,terre,Earth
62,87,donne,given
63,88,loin,far
64,90,croire,believe
65,91,chérie,sweetheart
66,92,gros,large
67,93,plutôt,rather
68,95,filles,girls
69,96,bureau,office
